Date,Open,High,Low,Close,Volume,Adj Close,,14 day return
2/1/00,82.44,84.5,81.31,83.75,9651000,38.08,,
2/2/00,83,84.19,81.37,82.37,7126200,37.45,,
2/3/00,83.5,84.87,80.25,83.19,9200200,37.82,,
2/4/00,82.5,83.31,81.56,81.75,5115100,37.17,,
2/7/00,82.19,83.37,81.75,82.19,4684200,37.37,,
2/8/00,84.06,86.12,84,85.06,6318600,38.67,,
2/9/00,84.94,86.37,82.44,82.87,9818500,37.68,,
2/10/00,83.12,83.75,81.37,83.12,6880500,37.79,,
2/11/00,83.25,85,82,82.62,7052500,37.56,,
2/14/00,82.25,83.44,79.06,79.06,5904700,35.94,,
2/15/00,80.06,82.5,79.62,81.06,8965500,36.85,,
2/16/00,81,82.19,79,79.5,4829700,36.14,,
2/17/00,80.62,81.5,77.81,78.37,5716200,35.63,,
2/18/00,78.06,78.56,74.56,74.75,8121300,33.98,,
2/22/00,76,78.87,75.12,77.25,7068600,35.12,,
2/23/00,77.37,79.19,76.56,77.37,4452900,35.18,,
2/24/00,77.25,77.56,74.62,76,5199900,34.55,,
2/25/00,76.62,78.75,74.87,75.87,4644300,34.49,,
2/28/00,76.75,80.25,76.37,77.94,6051000,35.43,,
2/29/00,77.69,81,77.69,79.62,6166900,36.2,,
3/1/00,79.87,82,78.87,82,4866300,37.28,,
3/2/00,80.5,81.12,79.75,80.56,3583800,36.63,,
3/3/00,82,82.37,79.37,81.12,5981400,36.88,,
3/6/00,82.94,84.37,82.25,83.44,5691400,37.93,,
3/7/00,83.44,84.19,81,81.81,4566900,37.19,,
3/8/00,80.75,81.44,78.62,79,5247700,35.92,,
3/9/00,78.75,81.25,78.06,81.12,3979500,36.88,,
3/10/00,80,81.56,77.75,78.69,5311300,35.78,,
3/13/00,77.62,81.19,77.12,80.06,4723300,36.4,,
3/14/00,80.5,80.94,78.5,79,4129600,35.92,,
3/15/00,77.87,84.19,77.19,83.12,8861700,37.79,,
3/16/00,84.94,90.37,84.19,90.12,15634900,40.97,,
3/17/00,89.25,92.25,88.5,91,11889100,41.37,,
3/20/00,90,90.5,84.5,86.56,8076100,39.35,,
3/21/00,86.44,92.5,85.5,92,8345500,41.83,,
3/22/00,90.62,92.12,88.75,91.56,8604100,41.63,,
3/23/00,91,99.19,90.94,98.5,10431400,44.78,,
3/24/00,97,100.75,96,96.19,9489000,43.73,,
3/27/00,96,96.87,93.56,94.69,4828900,43.05,,
3/28/00,93.75,95.75,93.12,94.25,7325700,42.85,,
3/29/00,94.25,94.5,89.31,90.37,9088300,41.09,,
3/30/00,89.44,90.75,85.94,87,8017200,39.55,,
3/31/00,88,88.37,86,87.19,6805000,39.64,,
4/3/00,87.94,93,87.81,92.5,8509500,42.05,,
4/4/00,91.5,91.87,83,86.75,12638700,39.65,,
4/5/00,84.25,86.94,84.25,86.37,7310700,39.47,,
4/6/00,87,88.25,86.81,87.44,4853400,39.96,,
4/7/00,88.25,88.25,86,86.37,4914100,39.47,,
4/10/00,85.5,89.06,85.12,88.12,7864900,40.27,,
4/11/00,87,87.87,85,86,8217100,39.3,,
4/12/00,87.94,90.94,86.5,86.81,9133300,39.67,,
